accuracy,execution_time,memory_usage,precision,recall,f1_score,algorithm,dataset
0.9833333333333333,0.038598060607910156,655507456,0.9615384615384616,1.0,0.9803921568627451,knn,dataset_1_150_value.csv
0.9666666666666667,0.0036721229553222656,800047104,0.9838709677419355,0.953125,0.9682539682539683,knn,dataset_1_300_value.csv
0.9444444444444444,0.0046808719635009766,822853632,0.9139784946236559,0.9770114942528736,0.9444444444444445,knn,dataset_1_450_value.csv
0.9458333333333333,0.006276130676269531,724664320,0.9666666666666667,0.928,0.9469387755102041,knn,dataset_1_600_value.csv
0.9733333333333334,0.01474905014038086,581156864,0.9746835443037974,0.9746835443037974,0.9746835443037974,knn,dataset_1_750_value.csv
0.9388888888888889,0.009494781494140625,624803840,0.9451219512195121,0.9226190476190477,0.9337349397590362,knn,dataset_1_900_value.csv
0.9333333333333333,0.008645057678222656,626098176,0.9454545454545454,0.9285714285714286,0.9369369369369368,knn,dataset_1_1050_value.csv
0.9625,0.011732101440429688,595787776,0.9705882352941176,0.9545454545454546,0.9625,knn,dataset_1_1200_value.csv
0.95,0.013096332550048828,626376704,0.9352226720647774,0.9545454545454546,0.9447852760736196,knn,dataset_1_1350_value.csv
0.95,0.014445066452026367,646299648,0.9459459459459459,0.9523809523809523,0.9491525423728814,knn,dataset_1_1500_value.csv
0.85,0.003226041793823242,659423232,0.8333333333333334,0.8,0.816326530612245,knn,dataset_2_150_value.csv
0.9083333333333333,0.0038559436798095703,649297920,0.9344262295081968,0.890625,0.9120000000000001,knn,dataset_2_300_value.csv
0.9,0.004849910736083984,720257024,0.9058823529411765,0.8850574712643678,0.8953488372093024,knn,dataset_2_450_value.csv
0.9333333333333333,0.005132913589477539,700923904,0.9504132231404959,0.92,0.934959349593496,knn,dataset_2_600_value.csv
0.9266666666666666,0.007892131805419922,729153536,0.9473684210526315,0.9113924050632911,0.9290322580645162,knn,dataset_2_750_value.csv
0.9333333333333333,0.008396148681640625,708722688,0.9044943820224719,0.9583333333333334,0.930635838150289,knn,dataset_2_900_value.csv
0.9571428571428572,0.009339094161987305,657555456,0.9768518518518519,0.9419642857142857,0.959090909090909,knn,dataset_2_1050_value.csv
0.9479166666666666,0.011314868927001953,641236992,0.9357429718875502,0.9628099173553719,0.9490835030549899,knn,dataset_2_1200_value.csv
0.9351851851851852,0.012512922286987305,634798080,0.9058823529411765,0.9545454545454546,0.9295774647887325,knn,dataset_2_1350_value.csv
0.9533333333333334,0.012560129165649414,607092736,0.9586206896551724,0.9455782312925171,0.952054794520548,knn,dataset_2_1500_value.csv
0.8666666666666667,0.0021860599517822266,644382720,0.84,0.84,0.8399999999999999,knn,dataset_3_150_value.csv
0.9083333333333333,0.003652811050415039,629030912,0.8955223880597015,0.9375,0.9160305343511451,knn,dataset_3_300_value.csv
0.9722222222222222,0.004045009613037109,616792064,0.9767441860465116,0.9655172413793104,0.9710982658959537,knn,dataset_3_450_value.csv
0.9416666666666667,0.005608797073364258,584581120,0.937007874015748,0.952,0.9444444444444443,knn,dataset_3_600_value.csv
0.97,0.008744955062866211,622968832,0.9570552147239264,0.9873417721518988,0.9719626168224299,knn,dataset_3_750_value.csv
0.9611111111111111,0.0077953338623046875,590200832,0.9425287356321839,0.9761904761904762,0.95906432748538,knn,dataset_3_900_value.csv
0.9571428571428572,0.01049184799194336,548995072,0.963963963963964,0.9553571428571429,0.9596412556053813,knn,dataset_3_1050_value.csv
0.9666666666666667,0.011736869812011719,539000832,0.959349593495935,0.9752066115702479,0.9672131147540983,knn,dataset_3_1200_value.csv
0.9611111111111111,0.010802984237670898,514097152,0.9367588932806324,0.9793388429752066,0.9575757575757575,knn,dataset_3_1350_value.csv
0.9616666666666667,0.01758098602294922,551976960,0.9531772575250836,0.9693877551020408,0.9612141652613828,knn,dataset_3_1500_value.csv
0.9,0.005530118942260742,552484864,0.88,0.88,0.88,knn,dataset_4_150_value.csv
0.9416666666666667,0.002902984619140625,619085824,0.9384615384615385,0.953125,0.9457364341085271,knn,dataset_4_300_value.csv
0.9222222222222223,0.004126071929931641,622116864,0.9101123595505618,0.9310344827586207,0.9204545454545454,knn,dataset_4_450_value.csv
0.9291666666666667,0.010123968124389648,632668160,0.9354838709677419,0.928,0.931726907630522,knn,dataset_4_600_value.csv
0.9366666666666666,0.007917165756225586,600424448,0.9426751592356688,0.9367088607594937,0.9396825396825397,knn,dataset_4_750_value.csv
0.9,0.011893987655639648,613597184,0.8586956521739131,0.9404761904761905,0.8977272727272727,knn,dataset_4_900_value.csv
0.9166666666666666,0.009138822555541992,583925760,0.92,0.9241071428571429,0.9220489977728286,knn,dataset_4_1050_value.csv
0.90625,0.010918140411376953,581615616,0.8987854251012146,0.9173553719008265,0.9079754601226995,knn,dataset_4_1200_value.csv
0.937037037037037,0.013023138046264648,586629120,0.9262295081967213,0.9338842975206612,0.9300411522633746,knn,dataset_4_1350_value.csv
0.935,0.03840994834899902,550567936,0.9381443298969072,0.9285714285714286,0.9333333333333333,knn,dataset_4_1500_value.csv
0.9333333333333333,0.0021610260009765625,587792384,0.8888888888888888,0.96,0.923076923076923,knn,dataset_5_150_value.csv
0.9166666666666666,0.003197908401489258,590233600,0.9090909090909091,0.9375,0.923076923076923,knn,dataset_5_300_value.csv
0.9444444444444444,0.0045239925384521484,582107136,0.8969072164948454,1.0,0.9456521739130436,knn,dataset_5_450_value.csv
0.9625,0.005524873733520508,564527104,0.953125,0.976,0.9644268774703557,knn,dataset_5_600_value.csv
