"No.","Time","Source","Destination","Protocol","Length","Info"
"911","48.927746761","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"912","49.928945216","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"913","50.878195021","192.168.56.105","8.8.8.8","DNS","75","Standard query 0x50d1 A play.google.com"
"914","50.878195315","192.168.56.105","8.8.8.8","DNS","75","Standard query 0x96dc AAAA play.google.com"
"915","50.890065592","8.8.8.8","192.168.56.105","DNS","91","Standard query response 0x50d1 A play.google.com A 142.251.42.206"
"916","50.929693892","192.168.56.1","239.255.255.250","SSDP","217","M-SEARCH * HTTP/1.1 "
"917","50.930249851","8.8.8.8","192.168.56.105","DNS","103","Standard query response 0x96dc AAAA play.google.com AAAA 2404:6800:4004:827::200e"
"918","50.933639241","192.168.56.105","142.251.42.206","QUIC","1399","0-RTT, DCID=f1f1350c7c842ff7c3, SCID=7096a5"
"919","50.971685442","142.251.42.206","192.168.56.105","QUIC","1399","Initial, DCID=7096a5, SCID=f1f1350c7c842ff7, PKN: 1, ACK, PADDING"
"920","50.978677197","192.168.56.105","8.8.8.8","DNS","75","Standard query 0x1ea9 A play.google.com"
"921","50.978677975","142.251.42.206","192.168.56.105","QUIC","1399","Protected Payload (KP0), DCID=7096a5"
"922","50.978678023","142.251.42.206","192.168.56.105","QUIC","657","Protected Payload (KP0), DCID=7096a5"
"923","50.981481475","142.251.42.206","192.168.56.105","QUIC","69","Protected Payload (KP0), DCID=7096a5"
"924","50.981950068","192.168.56.105","142.251.42.206","QUIC","271","Protected Payload (KP0), DCID=f1f1350c7c842ff7"
"925","50.983192635","192.168.56.105","142.251.42.206","QUIC","1399","Protected Payload (KP0), DCID=f1f1350c7c842ff7"
"926","50.983192961","192.168.56.105","142.251.42.206","QUIC","325","Protected Payload (KP0), DCID=f1f1350c7c842ff7"
"927","50.990201822","142.251.42.206","192.168.56.105","QUIC","165","Protected Payload (KP0), DCID=7096a5"
"928","50.994329787","8.8.8.8","192.168.56.105","DNS","91","Standard query response 0x1ea9 A play.google.com A 142.251.42.206"
"929","50.995576044","192.168.56.105","142.251.42.206","TCP","74","34184  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1005647808 TSecr=0 WS=128"
"930","50.998460481","142.251.42.206","192.168.56.105","QUIC","68","Protected Payload (KP0), DCID=7096a5"
"931","50.999423964","142.251.42.206","192.168.56.105","QUIC","67","Protected Payload (KP0), DCID=7096a5"
"932","51.001014739","192.168.56.105","142.251.42.206","QUIC","73","Protected Payload (KP0), DCID=f1f1350c7c842ff7"
